opp_id,policy,threshold,complexity_score,probability,strategic_account,tier,reason,evidence,changed_vs_reference
OPP-014,adaptive,0.98,5,0.35,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 5, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-015,adaptive,0.98,4,0.68,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-016,adaptive,0.98,1,0.75,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-017,adaptive,0.98,2,0.66,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 2, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-018,adaptive,0.98,1,0.4,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-019,adaptive,0.98,1,0.72,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-020,adaptive,0.98,2,0.55,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-021,adaptive,0.98,2,0.3,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-022,adaptive,0.98,0,0.85,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 0, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-023,adaptive,0.98,3,0.25,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-024,adaptive,0.98,2,0.62,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-025,adaptive,0.98,1,0.48,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-026,adaptive,0.98,1,0.78,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-027,adaptive,0.98,2,0.2,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-028,adaptive,0.98,1,0.83,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-029,adaptive,0.98,3,0.15,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-030,adaptive,0.98,1,0.7,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.98, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-001,adaptive,0.95,0,0.99,True,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.99, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-002,adaptive,0.95,4,0.52,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-003,adaptive,0.95,3,0.58,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-004,adaptive,0.95,2,0.05,False,cheap,already lost: probability at or below low-confidence threshold,"{""probability"": 0.05, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-005,adaptive,0.95,2,0.08,False,cheap,already lost: probability at or below low-confidence threshold,"{""probability"": 0.08, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-006,adaptive,0.95,0,0.97,False,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.97, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-007,adaptive,0.95,0,0.96,True,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.96, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-008,adaptive,0.95,4,0.93,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-009,adaptive,0.95,1,0.92,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-010,adaptive,0.95,0,0.91,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 0, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-011,adaptive,0.95,0,0.98,False,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.98, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-012,adaptive,0.95,4,0.45,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-013,adaptive,0.95,4,0.6,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-014,adaptive,0.95,5,0.35,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 5, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-015,adaptive,0.95,4,0.68,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-016,adaptive,0.95,1,0.75,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-017,adaptive,0.95,2,0.66,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 2, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-018,adaptive,0.95,1,0.4,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-019,adaptive,0.95,1,0.72,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-020,adaptive,0.95,2,0.55,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-021,adaptive,0.95,2,0.3,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-022,adaptive,0.95,0,0.85,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 0, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-023,adaptive,0.95,3,0.25,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-024,adaptive,0.95,2,0.62,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-025,adaptive,0.95,1,0.48,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-026,adaptive,0.95,1,0.78,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-027,adaptive,0.95,2,0.2,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-028,adaptive,0.95,1,0.83,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-029,adaptive,0.95,3,0.15,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-030,adaptive,0.95,1,0.7,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.95, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-001,adaptive,0.9,0,0.99,True,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.99, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-002,adaptive,0.9,4,0.52,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-003,adaptive,0.9,3,0.58,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-004,adaptive,0.9,2,0.05,False,cheap,already lost: probability at or below low-confidence threshold,"{""probability"": 0.05, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-005,adaptive,0.9,2,0.08,False,cheap,already lost: probability at or below low-confidence threshold,"{""probability"": 0.08, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-006,adaptive,0.9,0,0.97,False,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.97, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-007,adaptive,0.9,0,0.96,True,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.96, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-008,adaptive,0.9,4,0.93,True,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.93, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-009,adaptive,0.9,1,0.92,False,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.92, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-010,adaptive,0.9,0,0.91,False,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.91, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-011,adaptive,0.9,0,0.98,False,cheap,settled: probability at or above high-confidence threshold,"{""probability"": 0.98, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-012,adaptive,0.9,4,0.45,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-013,adaptive,0.9,4,0.6,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-014,adaptive,0.9,5,0.35,False,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 5, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-015,adaptive,0.9,4,0.68,True,premium,high decision complexity: unresolved evidence to synthesize,"{""complexity_score"": 4, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-016,adaptive,0.9,1,0.75,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 1, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-017,adaptive,0.9,2,0.66,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 2, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-018,adaptive,0.9,1,0.4,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-019,adaptive,0.9,1,0.72,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-020,adaptive,0.9,2,0.55,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-021,adaptive,0.9,2,0.3,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-022,adaptive,0.9,0,0.85,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 0, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-023,adaptive,0.9,3,0.25,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-024,adaptive,0.9,2,0.62,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-025,adaptive,0.9,1,0.48,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-026,adaptive,0.9,1,0.78,True,balanced,"strategic account floor (floor, never a bypass)","{""strategic_account"": true, ""complexity_score"": 1, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-027,adaptive,0.9,2,0.2,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 2, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-028,adaptive,0.9,1,0.83,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
OPP-029,adaptive,0.9,3,0.15,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 3, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",True
OPP-030,adaptive,0.9,1,0.7,False,balanced,default tier: contested but not high-complexity,"{""complexity_score"": 1, ""high_confidence_threshold"": 0.9, ""low_confidence_threshold"": 0.1, ""complexity_threshold"": 4}",False
