opp_id,name,amount,probability,stage,strategic_account,no_economic_buyer,competitor_present,security_legal_blocked,procurement_not_started,champion_risk,inactive_21d,conflicting_signals,days_since_activity,close_date,notes
OPP-011,Ironvale Mining -- Support Renewal,210000,0.98,CONTRACT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,2026-08-21,"Flat renewal, same terms as last year. Customer confirmed in writing; invoice requested for their AP calendar. Formality at this point."
OPP-012,Concord Utilities -- Grid Analytics,1800000,0.45,PROPOSAL,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,28,2026-12-11,"Regulated-utility security addendum still with their counsel, four weeks now. Economic buyer (VP Grid Ops) has delegated all calls to an analyst. Procurement says RFP may be required. No substantive contact since mid-July."
OPP-013,Vantage Retail -- Personalization Suite,950000,0.6,NEGOTIATION,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,10,2026-11-06,CMO sponsor reorged into a regional role; replacement not named. Merchandising team pushing to close this quarter while finance asks why the project exists at all -- directly contradictory signals in the same week. PersonaLab ran a competing pilot in Q2.
OPP-014,Helios Energy -- Forecasting Platform,1250000,0.35,PROPOSAL,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,26,2026-12-18,"Five open risk signals. SOC2 addendum questions unanswered, no budget owner on record, procurement intake not started, incumbent forecasting vendor lobbying to extend, and the account has been dark for almost four weeks."
OPP-015,Argent Bank -- Risk Modeling Workbench,3100000,0.68,NEGOTIATION,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,6,2026-11-27,Model-risk-management review open with two rounds of questions outstanding. Procurement will not open intake until MRM clears. Business unit says signed by Thanksgiving; risk office says no vendor decisions before year-end -- both are in the CRM. QuantEdge shortlisted alongside us.
OPP-016,Trailhead Apparel -- Customer 360,880000,0.75,PROPOSAL,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,2026-10-23,Strategic logo for the retail vertical. Proposal well received; CDP incumbent responded with a discounted renewal offer. Exec sponsor engaged and responsive.
OPP-017,Keystone Manufacturing -- Supply Chain AI,1500000,0.66,DISCOVERY,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13,2026-12-04,"Named strategic account, early cycle. Plant-level buy-in is strong; corporate budget owner not yet identified. Long procurement runway typical for this account -- flagged early, not yet blocking."
OPP-018,Lumen Studios -- Media Asset Search,260000,0.4,QUALIFICATION,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,2026-11-20,"Post-production leads love the demo; nobody with budget authority has been in a meeting yet. Studio is mid-slate, decisions move slowly until wrap."
OPP-019,Copperline Telecom -- Churn Analytics,620000,0.72,PROPOSAL,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,2026-10-09,"Technical eval scored us first of three. TelcoMetrics remains in the process at the CIO's insistence. Commercial proposal delivered, awaiting their scoring committee."
OPP-020,Foxglove Pharma -- Trial Data Hub,1050000,0.55,PROPOSAL,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,12,2026-11-27,"GxP validation questionnaire in progress with our compliance team, their QA has follow-ups queued. Procurement will not engage until QA signs off. Sponsor steady, timeline realistic for pharma."
OPP-021,Marlowe & Finch -- Legal Doc Intelligence,190000,0.3,DISCOVERY,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,2026-12-11,"Two partners saw the demo, neither owns the tech budget. Firm is mid-trial on a major matter; contact said to circle back in September and has been quiet since."
OPP-022,Stonebridge Credit Union -- Fraud Scoring,430000,0.85,NEGOTIATION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2026-09-18,Terms agreed in principle; final pricing memo with their CFO. Reference call with a peer credit union completed and went smoothly. No open objections.
OPP-023,Aurora Hospitality -- Guest Data Platform,350000,0.25,QUALIFICATION,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,16,2026-12-18,Early exploration driven by a new VP of Digital who has not yet secured budget. HotelTech incumbent has a multi-year contract with an early-exit clause under review. Procurement not aware of the initiative.
OPP-024,Granite Peak Builders -- Project Analytics,780000,0.62,PROPOSAL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,9,2026-10-30,"Champion (IT Director) survived a reorg but lost two of five direct reports. Ops leadership calls this a top-three initiative while the CFO's office lists it under discretionary spend eligible for deferral -- same week, different decks."
OPP-025,Silverbirch Education -- Enrollment Insights,240000,0.48,QUALIFICATION,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,2026-11-13,"Positive pilot readout in early July, then summer break silence -- expected in education, admissions team returns mid-August. Pilot metrics already shared with their cabinet."
OPP-026,Harborview Health -- Imaging Archive,1400000,0.78,NEGOTIATION,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,2026-10-16,Strategic healthcare account. BAA and HIPAA security rider in legal review -- normal cycle time for them is 3-4 weeks and we are in week two. Clinical and IT sponsors aligned.
OPP-027,Nimbus Gaming -- Player Telemetry,165000,0.2,DISCOVERY,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,2026-12-04,Analytics lead ran a self-serve trial and liked it. Studio evaluating an open-source stack in parallel. No budget conversation yet; studio funding tied to next title milestone.
OPP-028,Cobalt Chemicals -- ESG Reporting,510000,0.83,PROPOSAL,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,2026-09-25,"Sustainability office selected us after a three-vendor bake-off. Procurement intake opens next cycle per their policy -- known, dated, and on their calendar. Sponsor responsive."
OPP-029,Wrenfield Logistics -- Route Optimization,290000,0.15,QUALIFICATION,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35,2026-11-20,Original champion moved to a competitor in July. Operations analyst who inherited the eval has no purchasing authority and has not replied in five weeks.
OPP-030,Juniper Robotics -- Fleet Data Platform,830000,0.7,PROPOSAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,2026-10-23,"Engineering VP calls us the presumptive choice; the same VP's staff meeting notes (shared by champion) list the project as paused pending Series C close. CRM probability reflects the VP's verbal, not the board timeline."
